title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution4.description,distribution.4.format,distribution.4.size,distribution.5.downloadURL,distribution.5.title,distribution.5.format,distribution.5.size,distribution.6.downloadURL,distribution.6.title,distribution.6.format,distribution.6.size,distribution.7.downloadURL,distribution.7.title,distribution.7.format,distribution.7.size,distribution.8.downloadURL,distribution.8.title,distribution.8.format,distribution.8.size,Available as bulk data download,Can be open,What is required to open,Estimate date of release
Business Operations Survey,"The Business Operations Survey is to collect performance measures from New Zealand businesses to better understand the practices and behaviours they undertake which may have an impact on their performance. These statistics feed into policy and micro data research that helps identify the current situation of the New Zealand business environment, as well as potential areas of improvement. The survey covers all businesses in New Zealand that have 6 more employees, and have been active for one year or more.",,https://creativecommons.org/licenses/by/4.0,"Business, Economy, Industries, Information, and communication technology",22-03-2017,28-03-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Business%20operations%20survey%2CInformation%20releases,Annual,"Business, Economy, Industries, Information and communication technology, Research and development",2015/2017,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/98568739-f933-4c00-8d56-d523f20e68bb,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Business-operations-survey/Business-operations-survey-2018/Download-data/business-operations-survey-2018-business-finance-csv.csv,Business finance 2018,,CSV,1.0 MB,https://www.stats.govt.nz/assets/Uploads/Business-operations-survey/Business-operations-survey-2018/Download-data/business-operations-survey-2018-changing-nature-of-work-csv.csv,Changing nature of work data 2018,,CSV,2.5MB,www.stats.govt.nz/infoshare,Business Operations time series data,"Select Subject category: Business, and Group: Business operations survey - BUO",,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Business Price Indexes,This combines the producers price index (PPI) and capital goods price index (CGPI) information releases into one quarterly business price index information release.   The PPI provides information on the change in the general level of prices for the productive sector of New Zealand. The CGPI provides information on changes in the general price level of fixed capital assets.,,https://creativecommons.org/licenses/by/4.0,"Agriculture, Business, Economy, Industries, Price indexes",19-08-2015,20-02-2019,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Business%20price%20indexes%2CInformation%20releases,Quarterly,"Commerce, trade and industry",1994/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/3cad91a6-e3a2-4dca-bb77-52e11442a0bf,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Business-price-indexes/Business-price-indexes-December-2018-quarter/Download-data/business-price-indexes-december-2018-quarter-csv-corrected.csv,December 2018 quarter data,,CSV,1.1MB,http://www.stats.govt.nz/infoshare/,"PPI, CEP or FPI data","Select Subject category: Economic indicators, and Group: Producers price index - PPI or Group: Capital goods price index - CEP.  Select Subject category: Industry sectors and Group: Farm inputs - FPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Census of International Trade in Services and Royalties,This is a census of all New Zealand businesses that either export or import commercial services and/or receive or make payments abroad for royalties.,,https://creativecommons.org/licenses/by/4.0,"Advertising,  Architecture,  Audio Visual,  Commercial,  Communication,  Computer,  Construction,  Country,  Cultural,  Financial,  Imports of services,  Legal,  Merchanting,  Mode of supply,  News and information,  Research and development,  Software,  Travel, Accounting, Consultancy, Engineering, Exports of services, Government services, Insurance, Management, Market research, Public opinion polling, Public releations, Recreational, Technical services, Transportation",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Irregular,"Commerce, trade and industry",,,https://www.stats.govt.nz/assets/Uploads/Business-price-indexes/Business-price-indexes-September-2018-quarter/Download-data/business-price-indexes-september-2018-quarter.csv,,,CSV,10MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Government Enterprise Survey,"This collects data on the financial transactions of Crown entities. The data collected by this survey is needed to compile quarterly and annual statistics on the performance of the New Zealand economy, such as calculating gross domestic product (GDP) and statistics on Crown research institutes.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,,,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/InternationalTradeinServicesandRoyalties/HOTPYeJun11/InternationalTradeinServicesandRoyaltiesYeJun11HOTP.pdf,,,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child and Youth Prosecution Statistics - tables (NZ.Stat),"The Ministry of Justice provides data to Stats NZ about children (aged 10-13) and young people (aged 14-16) charged in court for official release on the Stats NZ website.  Children and young people who are convicted of an offence in the District or High Court are included in the Youth Prosecution Statistics as well as those whose charges are proved in the Youth Court. All numbers in the Youth Prosecution Statistics are rounded to the nearest multiple of three, with the exception of zeroes, which remain as zeroes. The Youth Court is closed to the public, so any details that may identify an individual young person cannot be reported.",,https://creativecommons.org/licenses/by/4.0,"Children, Crime and justice, Gender and sex, Society",1992,25-09-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Child%20and%20youth%20prosecution%20statistics%2CInformation%20releases,Annual,Justice,1992/2018,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7381,Children & youth charged in court,"Statistics on the most serious prosecution outcome (across all offence categories) during a fiscal year, by offence category",,,"http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7382&_ga=2.124518858.1743379965.1551838710-1576571055.1551838710
",Children & youth given an order in court,"Statistics on the most serious court order given (across all offence categories) during a fiscal year, by offence category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Civil unions,Civil union statistics measure the number of civil unions registered in New Zealand. Civil unions may be entered into by couples of the same sex or by couples of different sexes. ,,https://creativecommons.org/licenses/by/4.0,"Family, Gender and sex, Marriages civil unions and divorces, Older people, Population, Society",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Marriages%20civil%20unions%20and%20divorces%20statistics%2CInformation%20releases,Quarterly,Population and society,2005/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/b3045dd9-ab14-4d67-b079-ab3b67b761d2,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Marriages-civil-unions-and-divorces/Marriages-civil-unions-and-divorces-Year-ended-December-2017/Download-data/marriages-civil-unions-and-divorces-december-2017-zipped-csv-tables.zip,December 2017 dataset,,ZIP,2KB,"http://www.stats.govt.nz/infoshare/
",Infoshare data tool,"Subject category: Population, and Group: Marriages, civil unions, and divorces - VSM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Consumers Price Index,These releases provide information on the price change of goods and services purchased by private New Zealand households.  The CPI is used to help set monetary policy and for monitoring economic performance. Employers and employees use the CPI in wage negotiations.,,https://creativecommons.org/licenses/by/4.0,"Consumers price index, Economy, Households, Price indexes",18-07-2017,16-10-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Consumers%20price%20index%20%28CPI%29%2CInformation%20releases,Quarterly,"Fiscal, tax and economics",1975/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/8b0860b8-cf63-4f12-a578-8eed8ba69ac3,Metadata,,,,https://www.stats.govt.nz/assets/Uploads/Consumers-price-index/Consumers-price-index-December-2018-quarter/Download-data/consumers-price-index-december-2018-quarter-csv.zip,December 2018 quarter dataset,,ZIP,294KB,http://www.stats.govt.nz/infoshare/,Infoshare data tool,"Select Subject category: Economic indicators, and Group: Consumers price index",,,https://www.stats.govt.nz/assets/Uploads/Consumers-price-index/CPI-and-FPI-back-series-30-Nov-2017/cpi-and-fpi-back-series-csv.csv,CPI and FPI back series,Dataset - published 30 November 2017,CSV,6.9MB,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Criminal Conviction and Sentencing Statistics,Ministry of Justice court statistics of completed criminal charges for adults (aged 17 years or more) charged in court. ,,https://creativecommons.org/licenses/by/4.0,"Minstry of Justice, Adult, Conviction, Convitions, Court, Crime, Criminal, Justics, Offence, Sentencing",,25-09-2018,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Criminal%20conviction%20and%20sentencing%20statistics%2CInformation%20releases,Semiannual,Justice,1980/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/7bc31b5b-5afe-42d8-a476-e4daba5cd496,Metadata,,,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7371&_ga=2.48915302.1743379965.1551838710-1576571055.1551838710,,Charges prosecuted again adults by offence ype,,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7372&_ga=2.42206053.1743379965.1551838710-1576571055.1551838710,,Adults prosecuted in court - most serious offence fiscal year,,,http://nzdotstat.stats.govt.nz/wbos/Index.aspx?DataSetCode=TABLECODE7373&_ga=2.52079465.1743379965.1551838710-1576571055.1551838710,,Adults convicted in court by sentence type+AD18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Accounts Analysis,"This recorded the financial transactions of ministers of the Crown, government departments, and offices of Parliament. It has been discontinued and replaced with the government sector accounts, which are released with the annual National Accounts information release each year.",,https://creativecommons.org/licenses/by/4.0,"Crown, finance, financial, government, national accounts, parliament",01-11-1998,16-11-2005,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,http://archive.stats.govt.nz/browse_for_stats/government_finance/crown_research_institutes/crown-accounts-analysis-info-releases.aspx,Annual,Local and regional government,1998/2005,,,,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare data tool,"Select Group: Government finance, and Central Government Accounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Financial Information System,"Crown Financial Information System (CFIS) is sourced from Treasury.  An analysis which records the financial transactions of the Crown with all other economic sectors, such as private enterprise, households, local government, state owned enterprises and the rest of the world, is also prepared from the data source.The financial data collected by CFIS is needed to compile quarterly and annual statistics on the performance of the New Zealand economy.  The information is used in the calculation of the Gross Domestic Product, which measures the value of goods less the cost of production.  The information is also used to compile the Analysis of the Crown Accounts.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,,,,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/CrownAccountsAnalysis/HOTPYeJun05/Crown-Accounts-Analysis-jun05alltables.xls,,,XLS,77KB,"http://www.stats.govt.nz/infoshare/
",Use Infoshare to view and download time-series data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Research Institute Finances,"This annual release provides provisional financial results of the nine Crown Research Institutes (CRIs). The activities of these institutes, which are in a number of different industries, are mainly focused on research and new product development.  ",,https://creativecommons.org/licenses/by/4.0,"CRIs,  Crown Research Institute,  Crown Research Institutes,  Finance,  Fiscal,  Open Government,  Tax and Economics, CRI",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Annual,Science and Research,1992/2015,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/43d858f5-04b8-4ada-8daa-3a2b3e6b96bb,Metadata,,,,www.stats.govt.nz/infoshare,Infoshare: to view & download time-series data,Select Subject categories: Government finances and select Group: Crown Research Instiytutes - CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
Cruise Ship Traveller Statistics,"Since the early 2000s, the number of cruise ships visiting New Zealand has increased significantly. From 2017, Stats NZ is publishing statistics on the number and characteristics of cruise ship travellers, including passengers and crew, and region/port statistics.",,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Cruise%20ship%20traveller%20statistics%2CInformation%20releases,,Population and society,,,http://www.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/CrownResearchInstituteStatistics/HOTPYe30Jun13/CrownResearchInstituteStatisticsYe30Jun13HOTP.pdf,,,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths,"These measure the number of deaths registered in New Zealand. Death statistics provide local authorities, health authorities, and research institutions with information needed to plan future and current social services.",,https://creativecommons.org/licenses/by/4.0,"Births and deaths, Gender and sex, Population, Women",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Births%20and%20deaths%2CInformation%20releases,Quarterly,Population and society,1848/2018,,http://datainfoplus.stats.govt.nz/Item/nz.govt.stats/24c7f58a-7a19-4ac5-b66f-374c563932bf,Metadata,,,,"http://www.stats.govt.nz/infoshare/
",Infoshare data tool,"Select Subject category: Population, and Group: Deaths - VSD, Group: Death rates - DMM",,,https://www.stats.govt.nz/assets/Uploads/Births-and-deaths/Births-and-deaths-Year-ended-December-2017/Download-data/births-and-deaths-year-ended-december-2017-zipped-csv-tables.zip,Year ended December 2017,,ZIP,8.7KB,https://www.stats.govt.nz/assets/Uploads/Deaths-by-statistical-area-2-and-area-unit-for-comparison.csv,Death data by statistical area 2 and area unit (comparison),,CSV,225KB,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Disability Survey,"Disability statistics provides information about children and adults with a disability living in New Zealand. This includes the numbers of people with a disability, the nature and cause of impairments and the type of support required.",,https://creativecommons.org/licenses/by/4.0,"New Zealand, Disability",,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,https://www.stats.govt.nz/publications?filters=Disability%20survey%2CInformation%20releases,Every few years?,Population and Society,,,https://www.stats.govt.nz/assets/Uploads/Births-and-deaths/Births-and-deaths-Year-ended-December-2017/Download-data/births-and-deaths-year-end-december-2017-tables.xlsx,Metadata,,XLSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Health Board Financial Statistics,Statistics about district health boards provide information about the financial performance of publicly funded hospital and health service providers.,,https://creativecommons.org/licenses/by/4.0,,,,Statistics NZ,info@stats.govt.nz,InfoCentre,0508 525 525,info@stats.govt.nz,,Quarterly,Health,,,http://www.stats.govt.nz/~/media/Statistics/browse-categories/health/disabilities/He-haua-maori-findings-from-2013-disability-survey/he-haua-maori-disability-survey.pdf,,,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
